,Target_Name,obsid,obs_chunk,RA_(J2000),Dec_(J2000),start_time,processing_date,xrt_exposure,uvot_exposure,bat_exposure,archive_date,Eclip_LONG,Eclip_LAT,GroupID,GroupSize
2,SAA-COLD-184-06,74146006,1.0,59.97396,-0.01571,2008-07-04 10:55:00,"Oct 14, 2015",142.73,0.0,288.0,"Jul 15, 2008",57.788085488,-20.1602028987,1.0,28.0
3,SAA-COLD-184-06,74146028,2.0,59.97467,-0.00349,2014-07-04 11:29:00,"Jul 14, 2014",73.495,0.0,328.0,"Jul 15, 2014",57.7915845543,-20.14841127,1.0,28.0
4,SAA-COLD-77-07,74146026,3.0,59.97849,0.0006,2014-03-18 23:21:00,"Mar 28, 2014",72.428,0.0,160.0,"Mar 29, 2014",57.7964846281,-20.1452240819,1.0,28.0
5,SAA-COLD-184-5,74146018,1.0,59.97904,0.01818,2010-07-04 12:41:00,"Jul 10, 2010",119.812,0.0,167.0,"Jul 11, 2010",57.8010262307,-20.1281601652,1.0,28.0
6,SAA-COLD-185-17,74146010,1.0,59.98036,-0.0474,2009-07-04 10:37:00,"Jul 10, 2009",158.473,0.0,250.0,"Jul 11, 2009",57.7875900927,-20.1925293579,1.0,28.0
8,SAA-COLD-184-5,74146017,1.0,59.98144,-0.00241,2010-07-04 10:58:00,"Jul 10, 2010",126.487,0.0,170.0,"Jul 11, 2010",57.7988758415,-20.1487910168,1.0,28.0
11,SAA-COLD-184-06,74146007,1.0,59.98622,-0.01296,2008-07-04 12:37:00,"Oct 14, 2015",234.707,0.0,284.0,"Jul 15, 2008",57.8014698334,-20.1601144846,1.0,28.0
12,SAA-COLD-77-07,74146025,3.0,59.98822,-0.00823,2014-03-18 21:38:00,"Mar 28, 2014",31.865,0.0,272.0,"Mar 29, 2014",57.8046198624,-20.1559158419,1.0,28.0
13,SAA-COLD-184-5,74146015,1.0,59.98907,-0.00997,2010-07-03 10:53:00,"Jul 9, 2010",70.29,0.0,251.0,"Jul 10, 2010",57.8051119191,-20.1577964618,1.0,28.0
14,SAA-COLD-185-17,74146009,1.0,59.9894,-0.03133,2009-07-03 12:11:00,"Jul 9, 2009",387.867,0.0,532.0,"Jul 10, 2009",57.8006325299,-20.1787411212,1.0,28.0
15,SAA-COLD-184-5,74146016,1.0,59.98946,-0.01475,2010-07-03 12:35:00,"Jul 9, 2010",117.248,0.0,167.0,"Jul 10, 2010",57.804438753,-20.162550531,1.0,28.0
16,SAA-COLD-79-08,74146022,1.0,59.98983,0.00349,2012-07-04 10:50:00,"Jul 14, 2012",171.382,0.0,514.0,"Jul 15, 2012",57.8089415922,-20.1448032551,1.0,28.0
17,SAA-COLD-184-06,74146031,3.0,60.00025,0.00071,2015-07-04 12:55:00,"Jul 14, 2015",38.269,0.0,171.0,"Jul 15, 2015",57.8191613096,-20.1497279607,1.0,28.0
18,SAA-COLD-185-17,74146012,1.0,60.00081,-0.00174,2009-07-04 14:04:00,"Jul 10, 2009",151.024,0.0,170.0,"Jul 11, 2009",57.8191913996,-20.1522409871,1.0,28.0
